principal_component,explained_variance_ratio,cumulative_explained_variance
PC486,1.9643275801889652e-05,0.9998102773115903
PC487,1.922462556689281e-05,0.9998295019371573
PC488,1.8152711191082125e-05,0.9998476546483483
PC489,1.695452135617385e-05,0.9998646091697045
PC490,1.662931472670851e-05,0.9998812384844312
PC491,1.5649798066451058e-05,0.9998968882824977
PC492,1.411575323878536e-05,0.9999110040357364
PC493,1.3485251327344167e-05,0.9999244892870638
PC494,1.315456529028818e-05,0.9999376438523541
PC495,1.2973745394293006e-05,0.9999506175977484
PC496,1.2654111996785521e-05,0.9999632717097452
PC497,1.256924839903316e-05,0.9999758409581442
PC498,1.1290534940612625e-05,0.9999871314930848
PC499,9.17004788048512e-06,0.9999963015409653
PC500,3.698459033758368e-06,0.9999999999999991
PC501,1.8789288756516615e-17,0.9999999999999991
PC502,2.2616897168721765e-18,0.9999999999999991
PC503,3.049345862600548e-19,0.9999999999999991
PC504,2.0838927358401299e-19,0.9999999999999991
PC505,3.223899532442967e-20,0.9999999999999991
PC506,0.0,0.9999999999999991
PC507,0.0,0.9999999999999991
PC508,0.0,0.9999999999999991
PC509,0.0,0.9999999999999991
PC510,0.0,0.9999999999999991
PC511,0.0,0.9999999999999991
