group_variable,groups_evaluated,largest_group_sessions,smallest_group_sessions,min_positive_prediction_rate,max_positive_prediction_rate,positive_prediction_rate_gap,selection_rate_ratio_min_to_max,recall_gap,false_positive_rate_gap,equalized_odds_proxy_gap
early_cart_group,2,12447,1473,0.0017674941753032859,0.9959266802443992,0.9941591860690959,0.0017747231903352011,0.9894553338876307,0.9917016910296546,1.9811570249172852
early_event_gap_band,5,5266,522,0.03209459459459459,0.5708812260536399,0.5387866314590453,0.05621939053147106,0.7833333333333333,0.2755661842858311,1.0588995176191645
brand_clean_first_grouped,11,6987,185,0.01529051987767584,0.1891891891891892,0.17389866931151335,0.08082131935342944,0.6424242424242423,0.074034902168165,0.7164591445924073
brand_clean_second_grouped,11,7001,184,0.015197568389057751,0.1875,0.17230243161094225,0.08105369807497467,0.6144393241167435,0.0664018722394357,0.6808411963561792
second_category_group,10,4005,176,0.06645367412140575,0.1453183520599251,0.07886467793851935,0.45729719047462203,0.2632129774986918,0.03201120448179272,0.29522418198048456
first_category_group,11,4002,108,0.05555555555555555,0.1454272863568216,0.08987173080126604,0.3820160366552119,0.2585669781931464,0.032430441898527,0.2909974200916734
first_price_band,4,3496,3466,0.08037757437070939,0.13948126801152738,0.059103693640817995,0.5762607088147966,0.2182504440497336,0.014452275543002692,0.23270271959273628
first_event_hour_group,4,5064,1829,0.06601580660158066,0.1359721082854799,0.06995630168389924,0.48550991401102156,0.11248023715415018,0.02987798148838236,0.14235821864253254
first_event_day_name,4,3779,2769,0.10133843212237094,0.11159263271939328,0.01025420059702234,0.9081104160092076,0.05354681712464471,0.008387355321629104,0.06193417244627381
