numeric_feature,spearman_correlation_with_future_purchase,absolute_correlation
early_cart_count,0.4556412860074881,0.4556412860074881
early_unique_products,-0.20083134215882834,0.20083134215882834
early_event_gap_log1p,-0.14203584253498808,0.14203584253498808
early_unique_brands,-0.13455013988473305,0.13455013988473305
early_unique_categories,-0.10006662070527338,0.10006662070527338
early_zero_price_event_count,-0.010659062909071421,0.010659062909071421
price_for_aggregation_first,0.0037918427155573444,0.0037918427155573444
price_for_aggregation_second,-0.0018363739886953544,0.0018363739886953544
