PC1,PC2,future_purchase
0.05735103051987376,1.4468696395342666,0
-0.08076778075667379,-0.25782922352743237,0
2.6235386626298265,-0.4415282157815252,0
2.2106922860015077,0.8247576259013151,0
1.6671708629191129,-0.5481908420662569,0
1.3622889789235437,-0.6640709872272683,0
-0.9342612761592616,-0.752196971798404,1
2.3292491541081084,-0.11597021656488354,0
1.2773503384091376,-0.3672017077532733,0
0.6498879854452441,-0.12026301174853418,0
-1.4851018455501088,-0.29173557655686994,0
-0.07216456788831715,-0.08755899563238131,0
0.05702583964390582,-1.0238172381136772,0
2.1627992111543257,-0.37774912932994886,0
2.522116965279564,-0.46874967599735584,0
-1.1690433160181721,-0.08161867387630797,0
1.4610911120272905,-0.37476972965623734,0
1.5616932309579008,-0.8732244680372836,0
-1.4695028116920026,0.7177306596444546,1
0.08514397937743598,0.9051973958395194,0
-0.09753283645174121,1.0539902337495388,0
-0.9896686913537577,-0.3168226278136866,1
0.08422536580405121,0.12119712863549582,0
-0.5844675964934912,2.9779251356117147,0
-0.7946664615926994,-0.6732287691046953,0
1.2480696002960598,-0.6864181340721275,0
-2.9629985671737797,-0.15012060170126462,1
-0.8024671891575977,-1.2489522834465079,0
1.4324291514498675,-0.8754719473947912,0
0.862836133619177,0.3913189237282723,0
1.2279704831243439,-0.9407984838664318,0
-0.6314707525065506,-0.6842894697278321,0
-0.018647315161104475,0.8805729379404397,0
-0.6299847542866225,-1.0304232244414884,0
-0.8556007488188363,-1.1714207506934544,1
3.8657001765970835,0.8352606858492745,0
-0.5931116931678406,-1.1022932406400805,0
1.587984062372566,-0.04346303224215955,0
-0.9474552517522775,-1.0469617457426261,0
0.07466899750527206,0.12168796873311787,0
-0.1985999678809106,-0.11978967235819646,0
-1.0558014316667141,-0.20464291993212652,0
1.0517961001745826,-0.09889287864714383,0
1.4250809904488813,-0.8749975121008309,0
-2.914843774806326,-1.107764785747817,1
3.093039567331747,0.13813029021983542,0
1.5374587744935175,-0.773144741742361,0
0.39019801220810124,0.7500625341800046,0
-0.6779680986994029,-1.1753433596253204,0
0.9121103359101064,0.03621303678033756,0
-2.1020256842047136,-1.7311668804740437,0
2.260031327268173,-0.8210658270336347,0
-2.5562958282781985,-1.9309576198271547,0
-1.3380648435070974,0.12764815075837793,0
0.5586651424435812,-0.4882785269689551,0
-1.2786529705475542,0.7609503886363724,0
-0.31240737334407764,0.2647618099454929,0
0.1337302312329325,-0.031611887886276516,1
1.2492674956940963,0.25757107635586357,0
0.1332102010288039,-0.8985898310799142,1
-0.14967396662189753,0.40761211137294157,0
-0.7369305756171598,0.0319219983501625,0
1.33774387999654,-0.27269462191404137,0
0.20878279512297693,-0.4255265823018586,0
-2.3045870158930986,-1.9972448538377032,1
4.621757654439841,0.43765970165454293,0
1.8741299311794783,0.5055872653871082,0
1.5226941085783572,-0.5754700371112074,0
-2.613373069492767,-1.737742569855121,0
-0.8827879864124034,-0.8637060119984843,0
-0.7395029965962479,-0.4857097492781969,0
-0.6542067070821727,-0.11246831865822188,0
-0.10593661401633983,-0.17004228364363033,0
-3.0517180279071705,-0.17534368473958103,1
-0.5389399629828541,-1.1066017070604506,0
-0.659245546602391,-0.8769937581705616,0
1.1311962604114971,-0.3267607533790461,0
1.0598168122999183,0.7209499040022339,0
-0.7740263924605695,2.394050819028235,0
-0.7288908556392155,-1.1533269099478296,0
1.2681040165452964,-0.8387007883278147,0
-3.498925240945625,0.4264143458731158,1
-0.7976200422409071,-0.4979719123653856,0
2.932721857348674,-0.44764772085089444,0
-0.8064994454082732,-1.002610444109983,0
-2.397468347827301,-0.932980026511108,1
1.6086974467567037,-0.8067180358632765,0
-0.9657859902505183,1.3370007942518227,0
-0.8654746054257424,-1.1828922513574975,0
3.639114098332994,-0.11280530786933593,0
-0.8366557180452897,-1.2169962813808004,0
0.34415073807146085,-0.5557879827593631,0
-1.3343056512632503,-0.011988411316006961,1
1.1571419738393571,-0.8334162281125269,0
-1.1128683537014246,0.13773039629996142,0
1.042355389599483,-0.7581266297589649,0
0.24175796503506458,-0.9599219850724926,0
-0.7689953861343193,-0.8810133178460768,1
-1.0698028440914107,0.014292198756510152,0
-0.08404611529610201,-0.07277098167378376,0
0.09216539775464211,0.6893618980363914,0
0.8714619556704155,4.936899720632014,0
0.07926864375235862,-0.1488388128235795,1
0.847875339723532,0.4202727318707737,0
-0.5285231153922584,1.5414182349841592,0
-0.6647490425312564,-1.2765870811284281,0
0.05223769587762923,-0.7170704738730194,1
1.2037025545871545,-0.5690594318575277,0
-1.073844464993313,-0.12470317514712938,0
2.7269830494447063,-0.452455131356256,0
-0.8704168421156929,-0.538963035227541,0
-0.23249688257815732,0.14276271218578174,0
0.17477629914236156,-0.4982873327354023,0
-2.3329223032872632,5.631254502996433,0
1.266503323587974,-0.1739789162378674,0
2.5216169560594137,-0.31099702130607415,0
-0.6230860828083552,-1.1205723972030759,0
-0.9487038304724973,-1.3879626464221173,0
3.14615520301752,-0.36897252847256357,0
2.4967587584567545,-0.5052204070122173,0
-3.1526605743407994,0.42857330542649874,0
-3.637166712003762,1.2869498773227195,1
0.3190175327090877,-0.6817135822448384,0
1.3633692494300755,-0.11927309552714745,0
2.3309008955417103,-0.35597627185691527,0
-1.7232482907528512,2.5420538058179867,0
1.3752104293134884,-0.33815566940935965,0
-0.6923504134105704,-0.49201252345824004,0
-0.766752064766701,-1.2737536507070102,0
2.500869515836039,0.26136322499731307,0
-3.970790413923188,4.6944284775825835,1
0.16258831780093203,-0.8777633189478364,0
0.2792619350032822,-0.7033947557263655,0
-2.4867150897906067,-1.1514478302030242,1
-1.8376686122602666,-0.687651625409986,0
1.4798205472451413,-0.5201782075313266,0
1.0394119184945712,1.709930344768164,0
2.2592056893547277,0.024442817177856152,0
2.7394763372610793,0.1561602815365873,0
2.5791641267489327,-0.653900795846043,0
2.8614787914483473,-0.3360180482944157,1
2.2382011633839953,-0.07870776311243088,0
-3.5049743815995926,3.0063085481975405,1
-1.030275216472979,0.1229626212820734,0
-0.708881428899904,-0.9451555499855847,0
2.39087563497386,0.4977509486936281,0
0.31977558276473933,-0.84990311077267,0
1.7158963267047622,-0.8298387541465002,0
-0.9868735929641276,2.3540321972086677,0
1.0822061854796166,1.2532900223889125,0
1.3295213356860107,0.074380447426789,0
2.26042691018288,-0.0708010858239935,0
-2.5830750158430744,-1.9943811899042294,1
0.8705535738983192,0.20189822689337678,0
2.7734215885574773,0.6778410689167894,0
-1.093362829514344,5.251252676638267,0
1.1579051843909767,-0.595891100686353,0
1.082037689832926,0.8090100928862037,0
-2.8543519661384,-1.2503452545874971,0
1.371581123437908,-0.8127737489843836,0
-1.4673957405893214,2.5951594932851214,0
-0.6885512310956396,-1.3518587339109338,0
-1.3106982311460138,0.2735553258206857,0
2.2756443848046013,1.2128790274355687,0
-3.0501717715695573,-0.8409868642879023,1
1.161273734200097,-0.6380703144923421,0
-1.2535008419938012,0.24298685726706665,0
-1.0560523335438972,-0.8063108368566619,0
3.9215354356159104,1.9479447280383153,0
1.5840406348375426,-0.3913993776189761,0
-1.0254250062409842,-0.9061691574416352,0
0.3374435145941013,-0.8021840339807014,0
-2.0055505118182575,-1.7362526490626393,1
-1.1745656347572289,1.9682420605502535,0
-1.2149696779642623,-1.4320064985504395,0
-0.5640789964100296,1.9782602431904472,0
2.5412297805806245,0.5119932485146187,0
-0.34587697470820455,-0.02194180396836011,0
1.002484346649154,1.3454371450355938,0
-3.9129062441616584,3.8845512170701593,1
1.134142761893052,-0.1965260392998112,0
0.11550886679802949,-0.9204158730379499,0
-0.8347338384798054,-0.8578708811797078,0
-1.667580860006949,2.6390737861593423,0
-1.032245068822471,-0.10138287467027697,0
2.0712054417989396,-0.4246822861546426,0
2.2339116555819545,-0.13194383323793402,0
-2.1347605075876728,-0.836328642032264,0
0.3230647256248296,-0.40519991354128654,0
-1.4572587667960075,0.6347637966599647,0
-1.7732467078613452,1.3140375640269537,0
-0.7825710065339768,0.2926304773308428,0
1.8185126169399148,-0.27507001410618953,1
0.7553755568580273,1.6886458954026369,0
0.9852237868398314,-0.5529567943213453,1
1.0782462448710446,0.7140234854452469,0
-3.040881567210896,1.499620622316489,0
-2.4192908718563895,-1.4813562885821945,1
1.0842014768776824,-0.23897975901061336,0
-1.2739812035173081,0.7305885862993093,0
-3.0190380616237666,-0.15935157406834297,1
1.0718921951139413,0.3935969347998034,0
-0.654543738585095,-1.3045071135067707,0
0.14648278819525665,-0.677544655100743,1
-1.15118547505622,-0.18392254489214527,0
-0.8825912504032717,-1.1258791251858025,0
-1.0009138158859516,0.13933940276819057,0
-0.5271794806519091,-1.2026106065934947,0
2.0527226693182574,0.5128720750359832,0
2.443011348233387,-0.5201471043939097,0
0.9317666992393453,1.392446724232968,0
1.2138887781733079,-0.0020155365320087965,0
-1.4692904336640782,-0.41922499904146876,0
1.3740094728003032,-0.8362976210163936,1
-1.0983544713105724,-0.17574054124833016,0
2.811104621127576,-0.2630578798101354,0
4.617564746196466,1.0681542252360994,1
-0.4207994443273494,1.023897751331655,0
1.2541181104320083,-0.8054929033738301,0
-0.36024123863464363,1.5108489303444104,1
1.3341171199852786,-0.5869334141158762,0
1.1029778783710877,1.56356394426589,0
-2.4943916924651877,-1.9480519336686903,1
0.32033967157111676,-0.6806582913500956,0
0.09371805775313755,0.46685339925120406,0
-1.0445763475459866,-0.19356957858790785,0
-1.7852972721884501,0.3659548626916367,0
