group_variable,group_value,sessions,actual_future_purchase_rate,positive_prediction_rate,precision,recall_true_positive_rate,false_positive_rate,false_negative_rate,f1_score,accuracy,true_positives,false_positives,false_negatives,true_negatives,positive_prediction_rate_percent,actual_future_purchase_rate_percent
brand_clean_first_grouped,other_brand,6987,0.12079576356089881,0.08472878202375841,0.5793918918918919,0.40639810426540285,0.04053394107113788,0.5936018957345972,0.4777158774373259,0.892657793044225,343,249,501,5894,8.472878202375842,12.07957635608988
brand_clean_first_grouped,samsung,1904,0.19065126050420167,0.16754201680672268,0.6614420062695925,0.581267217630854,0.07008436080467229,0.418732782369146,0.6187683284457478,0.8634453781512605,211,108,152,1433,16.754201680672267,19.06512605042017
brand_clean_first_grouped,unknown,1692,0.11583924349881797,0.09160756501182032,0.567741935483871,0.4489795918367347,0.04478609625668449,0.5510204081632653,0.5014245014245015,0.8965721040189125,88,67,108,1429,9.160756501182032,11.583924349881796
brand_clean_first_grouped,apple,987,0.17223910840932116,0.182370820668693,0.6666666666666666,0.7058823529411765,0.07343941248470012,0.29411764705882354,0.6857142857142857,0.8885511651469098,120,60,50,757,18.237082066869302,17.223910840932117
brand_clean_first_grouped,xiaomi,824,0.14563106796116504,0.12135922330097088,0.62,0.5166666666666667,0.05397727272727273,0.48333333333333334,0.5636363636363636,0.883495145631068,62,38,58,666,12.135922330097088,14.563106796116504
brand_clean_first_grouped,adidas,345,0.034782608695652174,0.02608695652173913,0.2222222222222222,0.16666666666666666,0.021021021021021023,0.8333333333333334,0.19047619047619047,0.9507246376811594,2,7,10,326,2.608695652173913,3.4782608695652173
brand_clean_first_grouped,defacto,327,0.0672782874617737,0.01529051987767584,0.4,0.09090909090909091,0.009836065573770493,0.9090909090909091,0.14814814814814814,0.9296636085626911,2,3,20,302,1.529051987767584,6.727828746177369
brand_clean_first_grouped,huawei,273,0.18315018315018314,0.1575091575091575,0.7209302325581395,0.62,0.053811659192825115,0.38,0.6666666666666666,0.8864468864468864,31,12,19,211,15.75091575091575,18.315018315018314
brand_clean_first_grouped,lg,203,0.15270935960591134,0.1330049261083744,0.6296296296296297,0.5483870967741935,0.05813953488372093,0.45161290322580644,0.5862068965517241,0.8817733990147784,17,10,14,162,13.30049261083744,15.270935960591133
brand_clean_first_grouped,arg,193,0.15025906735751296,0.12435233160621761,0.6666666666666666,0.5517241379310345,0.04878048780487805,0.4482758620689655,0.6037735849056604,0.8911917098445595,16,8,13,156,12.435233160621761,15.025906735751295
